country,iso3,hs10,year,tariff_max,tariff_scaled,effective_mdate
"AUSTRIA","AUT",7222300084,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222300084,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222403085,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222403085,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222406000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222406000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7223001061,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7223001061,2019,.25,.25,2018m6
"AUSTRIA","AUT",7224900015,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7224900015,2019,.25,.25,2018m6
"AUSTRIA","AUT",7224900025,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7224900025,2019,.25,.25,2018m6
"AUSTRIA","AUT",7224900035,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7224900035,2019,.25,.25,2018m6
"AUSTRIA","AUT",7224900075,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7224900075,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225190000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225190000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225303050,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225303050,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225307000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225307000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225401110,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225401110,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225401180,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225401180,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225403050,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225403050,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225405110,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225405110,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225405160,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225405160,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225407000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225407000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225506000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225506000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225508080,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225508080,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225910000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225910000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225920000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225920000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225990010,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225990010,2019,.25,.25,2018m6
"AUSTRIA","AUT",7225990090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7225990090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226191000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226191000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226199000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226199000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226200000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226200000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226911560,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226911560,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226912560,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226912560,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226918000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226918000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226921060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226921060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226923060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226923060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226925000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226925000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226927050,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226927050,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226928050,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226928050,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226990130,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226990130,2019,.25,.25,2018m6
"AUSTRIA","AUT",7226990180,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7226990180,2019,.25,.25,2018m6
"AUSTRIA","AUT",7227100000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7227100000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7227901060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7227901060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7227902030,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7227902030,2019,.25,.25,2018m6
"AUSTRIA","AUT",7227906030,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7227906030,2019,.25,.25,2018m6
"AUSTRIA","AUT",7227906035,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7227906035,2019,.25,.25,2018m6
"AUSTRIA","AUT",7227906040,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7227906040,2019,.25,.25,2018m6
"AUSTRIA","AUT",7227906090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7227906090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228100010,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228100010,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228100030,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228100030,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228100060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228100060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228205000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228205000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228302000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228302000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228304000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228304000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228306000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228306000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228308015,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228308015,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228308041,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228308041,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228308045,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228308045,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228308070,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228308070,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228400000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228400000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228501020,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228501020,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228501060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228501060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228501080,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228501080,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228505015,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228505015,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228505040,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228505040,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228505070,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228505070,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228601060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228601060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228606000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228606000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228608000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228608000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228703041,2018,.25,.1458333,2018m6
