hs8,country,tariff,effective_date
"33043000","china",.1,24sep2018
"33043000","eu",.25,22jun2018
"33043000","turkey",.3,21jun2018
"33049100","china",.1,24sep2018
"33049100","eu",.25,22jun2018
"33049100","turkey",.3,21jun2018
"33049900","china",.1,24sep2018
"33049910","turkey",.3,21jun2018
"33049950","turkey",.3,21jun2018
"33051000","china",.1,24sep2018
"33052000","china",.1,24sep2018
"33053000","canada",.1,01jul2018
"33053000","china",.1,24sep2018
"33053000","eu",.25,22jun2018
"33059000","china",.1,24sep2018
"33061010","china",.1,24sep2018
"33061090","china",.1,24sep2018
"33062000","china",.1,24sep2018
"33069010","china",.1,24sep2018
"33069090","china",.1,24sep2018
"33071000","canada",.1,01jul2018
"33071000","china",.1,24sep2018
"33072000","china",.1,24sep2018
"33073000","china",.1,24sep2018
"33074100","china",.1,24sep2018
"33074900","canada",.1,01jul2018
"33074900","china",.1,24sep2018
"33079000","china",.1,24sep2018
"34011100","china",.1,24sep2018
"34011910","china",.1,24sep2018
"34011990","china",.1,24sep2018
"34012000","china",.1,24sep2018
"34013000","canada",.1,01jul2018
"34013000","china",.05,24sep2018
"34021100","china",.05,24sep2018
"34021200","china",.05,24sep2018
"34021300","china",.25,23aug2018
"34021900","china",.05,24sep2018
"34022010","canada",.1,01jul2018
"34022010","china",.1,24sep2018
"34022090","china",.05,24sep2018
"34029000","china",.05,24sep2018
"34031100","china",.1,24sep2018
"34031900","china",.25,23aug2018
"34039100","china",.1,24sep2018
"34039900","china",.25,23aug2018
"34042000","china",.05,24sep2018
"34049000","china",.05,24sep2018
"34051000","china",.1,24sep2018
"34052000","china",.05,24sep2018
"34053000","china",.05,24sep2018
"34054000","china",.05,24sep2018
"34059000","china",.05,24sep2018
"34060000","china",.05,24sep2018
"34060090","canada",.1,01jul2018
"34070010","china",.05,24sep2018
"34070020","china",.1,24sep2018
"34070090","china",.1,24sep2018
"35011000","china",.1,24sep2018
"35019000","china",.1,24sep2018
"35021100","china",.05,24sep2018
"35022000","china",.05,24sep2018
"35029000","china",.1,24sep2018
"35030010","china",.05,24sep2018
"35040010","china",.05,24sep2018
"35040090","china",.05,24sep2018
"35051000","china",.05,24sep2018
"35052000","china",.05,24sep2018
"35061000","canada",.1,01jul2018
"35061000","china",.05,24sep2018
"35069110","china",.05,24sep2018
"35069120","china",.05,24sep2018
"35069190","china",.25,23aug2018
"35069900","china",.05,24sep2018
"35079010","china",.05,24sep2018
"35079020","china",.05,24sep2018
"35079090","china",.05,24sep2018
"36010000","china",.05,24sep2018
"36030000","china",.05,24sep2018
"36041000","china",.05,24sep2018
"36049000","china",.05,24sep2018
"36061000","china",.05,24sep2018
"36069011","china",.05,24sep2018
"37011000","china",.05,24sep2018
"37012000","china",.1,24sep2018
"37013022","china",.1,24sep2018
"37013024","china",.1,24sep2018
"37013025","china",.05,24sep2018
"37013029","china",.05,24sep2018
"37013090","china",.1,24sep2018
"37019100","china",.1,24sep2018
"37019920","china",.1,24sep2018
"37019990","china",.05,24sep2018
"37021000","china",.1,24sep2018
"37023190","china",.05,24sep2018
"37023290","china",.05,24sep2018
"37023920","china",.05,24sep2018
"37023990","china",.05,24sep2018
"37024221","china",.1,24sep2018
"37024229","china",.1,24sep2018
"37024292","china",.1,24sep2018
"37024299","china",.1,24sep2018
"37024329","china",.05,24sep2018
"37024390","china",.05,24sep2018
"37024422","china",.1,24sep2018
"37024429","china",.1,24sep2018
"37024490","china",.1,24sep2018
"37025200","china",.05,24sep2018
"37025410","china",.05,24sep2018
"37025520","china",.05,24sep2018
"37025620","china",.05,24sep2018
"37025690","china",.05,24sep2018
"37029600","china",.05,24sep2018
"37029700","china",.05,24sep2018
"37031010","china",.05,24sep2018
"37032010","china",.05,24sep2018
"37039010","china",.05,24sep2018
"37040090","china",.05,24sep2018
"37050010","china",.05,24sep2018
"37050021","china",.05,24sep2018
"37050090","china",.05,24sep2018
"37061010","china",.05,24sep2018
"37061090","china",.05,24sep2018
"37079010","china",.1,24sep2018
"37079020","china",.1,24sep2018
"37079090","china",.1,24sep2018
"38011000","china",.05,24sep2018
"38012000","china",.05,24sep2018
"38013000","china",.05,24sep2018
"38019010","china",.1,24sep2018
"38019090","china",.05,24sep2018
"38021010","china",.05,24sep2018
"38021090","china",.1,24sep2018
"38029000","china",.05,24sep2018
"38030000","china",.05,24sep2018
"38040000","china",.05,24sep2018
"38051000","china",.1,24sep2018
"38059010","china",.1,24sep2018
"38059090","china",.1,24sep2018
"38061010","china",.1,24sep2018
"38062010","china",.05,24sep2018
"38062090","china",.05,24sep2018
"38063000","china",.05,24sep2018
"38069000","china",.05,24sep2018
"38070000","china",.05,24sep2018
"38086900","china",.1,24sep2018
"38089110","canada",.1,01jul2018
"38089119","china",.1,24sep2018
"38089190","china",.05,24sep2018
"38089210","canada",.1,01jul2018
"38089210","china",.1,24sep2018
"38089290","china",.1,24sep2018
"38089310","canada",.1,01jul2018
